!!NAME	NICK NAME
ELBERTSON	ELBERT
ELBERTSON	BERT
ELEANOR	ELAINE
ELEANOR	ELLA
ELEANOR	ELLEN
ELEANOR	HELEN
ELEANOR	LANNA
ELEANOR	LEONORA
ELEANOR	NELL
ELEANOR	NELLIE
ELEANOR	NORA
ELENA	HELEN
ELIAS	ELI
ELIJAH	ELI
ELIJAH	LIGE
ELIPHALEL	LIFE
ELISA	LISA
ELISHA	ELI
ELISHA	ELLIS
ELISHA	LISH
ELIZA	ELIZABETH
ELIZABETH	BESS
ELIZABETH	BESSIE
ELIZABETH	BETH
ELIZABETH	BETHIA
ELIZABETH	BETSY
ELIZABETH	BETTE
ELIZABETH	BETTEY
ELIZABETH	DICEY
ELIZABETH	ELIS
ELIZABETH	ELSIE
ELIZABETH	IBBY
ELIZABETH	LIBBY
ELIZABETH	LIZ
ELIZABETH	LIZA
ELIZABETH	LIZABETH
ELIZABETH	LIZZIE
ELIZABETH	TESS
ELLA	ELEANOR
ELLA	GABRIELLA
ELLA	HELEN
ELLA	LUELLA
ELLIE	ELEANOR
ELLIE	GABRIELLA
ELLIE	HELEN
ELLIE	LUELLA
ELLEN	HELEN
ELLEN	NELL
ELLEN	NELLIE
ELLENDER	ELLEN
ELLENDER	HELEN
ELLENDER	NELLIE
ELMINIE	MINNIE
ELMIRA	MIRA
ELNORA	NORA
ELOISE	HELOISE
ELOISE	LOUISE
ELSIE	ALICE
ELSIE	ELIZABETH
ELWOOD	ELLS
ELWOOD	ELLY
ELVIRA	ELVIE
ELYSIA	LISA
EMANUEL	MANNY
EMANUEL	MANUEL
EMELINE	EMMER
EMELINE	EMILY
EMELINE	EMMY
EMELINE	LINA
EMELINE	MILLIE
EMIL	EMILY
EMILY	EMMA
EMILY	EMMIE
EMILY	ERMA
EPHRAIM	EPH
ERASMUS	RASMUS
ERASMUS	RAZE
ERIC	RICK
ERIC	RICKY
ERNEST	ERNIE
EARNEST	ERNIE
ERNESTINE	ERNA
ERNESTINE	TINA
ERNESTINE	TEENY
ERWIN	IRWIN
ESENETH	SENIE
ESTELLA	ESSY
ESTELLA	STELLA
ESTHER	ESSIE
ESTHER	HESTER
EUDICY	DICEY
EUDORA	DORA
EUDORIS	DOSIE
EUDORIS	DOSSIE
EUGENE	GENE
EUGENE	EUY
EUGENE	GENE
EUGENE	GENIE
EUGENE	JENNY
EUNICE	NICIE
UNICE	NICIE
EUPHEMIA	EFFIE
EUPHEMIA	EFFY
EURYDICE	DICEY
EUSTACIA	STACIA
EUSTACIA	STACY
EVANGELINE	EVAN
EVANGELINE	EV
EVANGELINE	VANGIE
EVELYN	EV
EVELYN	EVE
EVELINA	EV
EVELINA	EVE
EZEKIEL	EZ
EZEKIEL	ZEKE
EXPERIENCE	EXIE
FAITH	FAY
FIDELIA	DELIA
FELICIA	FEL
FELICIA	FELI
FELICITY	FLICK
FELICITY	TICK
FERDINAND	FERDIE
FERDINAND	FRED
FERDINANDO	FERDIE
FERDINANDO	FRED
FLORENCE	FLO
FLORENCE	FLORA
FLORENCE	FLORRIE
FLORENCE	FLOSS
FLORENCE	FLOSSIE
FLOYD	LLOYD
FRANCES	FAN
FRANCES	FANNY
FRANCES	FRAN (IE)
FRANCES	FRANCE
FRANCES	FRANKIE
FRANCES	FRANZ
FRANCES	SIS
FRANCIS	FRANK
FRANKLIN	FRANK
FREDERICK	DERICK
FREDERICK	FRED
FREDERICK	FREDRIC
FREDERICK	FREDDIE
FREDERICK	FRISH
FREDERICK	FRITZ
FREDERICK	RICK
FREDERICA	FREDERICK
GABRIEL	GABE
GABRIEL	GABBY
GABRIELLE	ELLA
GABRIELLE	GABBIE
GENEVIEVE	GENCY
GENEVIEVE	JINSEY
GENEVIEVE	JENNY
GEOFFREY	JEFF
GEOFFREY	JEFFREY
GEORGE	JORGE
GEORGIA	GEORGIANA
GERALD	JERRY
GERALD	GERRY
GERALDINE	DINA
GERALDINE	GERRI
GERALDINE	GERRIE
GERALDINE	JERRY
GERALDINE	DEANNIE
GERHARDT	GAY
GERTRUDE	GATTY
GERTRUDE	GERTIE
GERTRUDE	TRUDY
GILBERT	BERT
GILBERT	BERTIE
GILBERT	GIB
GILBERT	GIL
GILBERT	WILBER
GLORIA	GLORY
GOVERNOR	GOVIE
GREENBERRY	BERRY
GREENBERRY	GREEN
GRETCHEN	MARGARET
GREGORY	GREG
GRISELDA	GRISSEL
GUSTAVUS	GUS
GWENDOLYN	GENNY
GWENDOLYN	GWEN
GWENDOLYN	WENDY
HAMILTON	HAM
HANNAH	ANNA
HANNAH	HATTIE
HANNAH	NAN
HANNAH	NANNY
HANNAH	SUSANNAH
HEATHER	HETTY
HERMAN	HARMAN
HAROLD	HAL
HAROLD	HARRY
HARRIET	HATTY
HARRIET	HATTIE
HARRY	HAROLD
HARRY	HENRY
HASELTINE	HASSIE
HELEN	AILEEN
HELENA	AILEEN
HELENA	EILEEN
HELENA	ELAINE
HELENA	ELEANOR
HELENA	ELLEN
HELENA	LENA
HELENA	NELL
HELENA	NELLIE
HELOISE	ELOISE
HELOISE	LOIS
HENRIETTA	ETTA
HENRIETTA	HANK
HENRIETTA	HETTY
HENRIETTA	NETTIE
HENRIETTA	RETTA
HENRY	HAL
HENRY	HANK
HENRY	HARRY
HENRY	HEN
HENRY	HENCE
HEPSABAH	HEPSY
HEPSABETH	HEPSY
HEPSABEL	HEPSY
HERBERT	BERT
HERBERT	HERB
HESTER	ESTHER
HESTER	HESSY
HESTER	HETTY
HEZEKIAH	HEZ
HEZEKIAH	KI
HEZEKIAH	KY
HONORA	HONEY
HONORA	NORA
HONORA	NORAH
HONORA	NORRY
HORACE	HARRY
HORACE	HORATIO
HORTENSE	HARTY
HORTENSE	TENSEY
HOSEA	HOSEY
HOSEA	HOSIE
HOWARD	HAL
HOWARD	HOWIE
HUBERT	HUGH/HUGO
HUBERT	BERT
IAN	JOHN
IGNATIUS	IGGY
IGNATZIO	IGGY
IGNATZIO	NACE
IGNATZIO	NAZ
IMMANUEL	EMMANUEL
IMMANUEL	MANUEL
INDIA	INDIE
INDIA	INDY
INEZ	AGNES
IONA	ONNIE
IRENE	RENA
IRENE	RENNIE
IRVIN	IRVING
IRWIN	ERWIN
ISAAC	IKE
ISAAC	ZEKE
ISABELLA	BELLA
